num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
10061,4960,3498,8083,1826,9,3088,167531,1.84,1.09,2.96,2,768
8345,4147,3283,6343,522,9,2234,149620,1.49,0.35,2.77,2,942
8048,2798,1828,4600,138,9,466,117243,0.4,0.12,2.39,2,889
10522,4579,3417,8206,1434,9,2732,175968,1.55,0.81,2.6,2,1097
12103,5990,4328,9885,1860,9,3852,220787,1.74,0.84,2.71,2,880
5670,2413,1864,4177,952,9,1470,101029,1.46,0.94,2.39,2,896
9517,3715,3019,6921,954,9,2192,155352,1.41,0.61,2.39,2,990
7369,3285,2372,5632,1432,9,2080,120610,1.72,1.19,2.72,2,1045
8979,4013,2667,6548,1940,9,2058,153152,1.34,1.27,2.62,2,932
8556,3214,2584,5693,1216,9,1378,134558,1.02,0.9,2.39,2,996
7600,2720,2098,4554,566,9,758,117238,0.65,0.48,2.32,2,930
10135,4155,3071,8318,1732,9,3194,163091,1.96,1.06,2.55,2,850
8232,3361,3117,5819,102,9,1798,141007,1.28,0.07,2.38,2,1000
6096,2070,1632,3918,64,9,918,94048,0.98,0.07,2.2,2,871
11227,6005,4465,8670,1412,9,3034,217451,1.4,0.65,2.76,2,985
6222,3925,2759,5608,1084,9,2706,127131,2.13,0.85,3.09,2,859
10433,4667,3502,7816,774,9,2620,179263,1.46,0.43,2.6,2,867
6551,3670,2283,5037,1138,9,1940,114299,1.7,1.0,3.21,2,878
9549,4309,3243,6687,1284,9,1970,166897,1.18,0.77,2.58,2,1069
8405,3895,2806,6440,888,9,2312,149360,1.55,0.59,2.61,2,964
8626,4321,3022,7147,1082,9,2732,144921,1.89,0.75,2.98,2,979
10112,3875,3021,6718,358,9,1438,164381,0.87,0.22,2.36,2,946
6676,3338,2276,4761,866,9,1578,118144,1.34,0.73,2.83,2,852
7761,4011,2858,5498,366,9,1644,136096,1.21,0.27,2.95,2,966
8333,3853,2749,6501,1764,9,2286,137198,1.67,1.29,2.81,2,832
7107,3504,2908,4531,458,9,1186,125360,0.95,0.37,2.8,2,968
6387,2925,2127,4600,376,9,1516,111014,1.37,0.34,2.63,2,881
7259,4161,2852,6249,1022,9,2822,139718,2.02,0.73,2.98,2,839
9205,3906,2709,6523,564,9,1690,143276,1.18,0.39,2.73,2,974
7014,2855,2504,4185,74,9,718,114434,0.63,0.06,2.49,2,963
12031,4971,3849,9050,1634,9,2876,204135,1.41,0.8,2.44,2,885
9126,4705,3342,7887,1462,9,3278,168945,1.94,0.87,2.78,2,1043
9055,3556,2738,6336,1104,9,1540,139363,1.11,0.79,2.55,2,975
9162,3688,2815,6147,182,9,1394,145638,0.96,0.12,2.53,2,885
9445,4240,3360,7192,1522,9,2506,160689,1.56,0.95,2.64,2,896
9101,4794,3757,6966,1536,9,2500,165830,1.51,0.93,2.89,2,797
10013,4660,3380,7870,1582,9,2872,170063,1.69,0.93,2.74,2,919
7696,2845,2041,6063,1340,9,2078,115580,1.8,1.16,2.46,2,862
9870,5131,3427,7713,1544,9,2594,164925,1.57,0.94,3.11,2,923
9038,3598,2758,5724,928,9,1076,150067,0.72,0.62,2.4,2,977
7157,3570,2859,4828,242,9,1460,139350,1.05,0.17,2.56,2,956
11862,5451,4090,8585,1538,9,2392,202505,1.18,0.76,2.69,2,865
12442,6275,4697,9726,1916,9,3494,220571,1.58,0.87,2.84,2,941
10540,3122,2947,7335,6,9,1842,159205,1.16,0.0,1.96,2,865
8203,4235,3164,5397,750,9,1490,152941,0.97,0.49,2.77,2,1038
9282,3526,2839,6879,226,9,2016,147540,1.37,0.15,2.39,2,1009
12450,4810,3748,8713,960,9,2214,202454,1.09,0.47,2.38,2,1130
11125,5709,4159,8143,1318,9,2560,207259,1.24,0.64,2.75,2,880
